country,region,gdp_per_capita,comp_edu,agri_employment,political_stability,corruption_control
Panama,Latin America & Caribbean,17358,11,15,High,Low
Peru,Latin America & Caribbean,7239,14,26,Low,Very Low
Philippines,East Asia & Pacific,3499,13,24,Very Low,Low
Palau,East Asia & Pacific,13422,12,,Very High,High
Papua New Guinea,East Asia & Pacific,3116,,18,Very Low,Low
Poland,Europe & Central Asia,18732,8,8,High,High
Puerto Rico,Latin America & Caribbean,35268,13,1,High,High
Portugal,Europe & Central Asia,24515,12,5,Very High,Very High
Paraguay,Latin America & Caribbean,6187,13,17,High,Very Low
West Bank and Gaza,Middle East & North Africa,3800,10,6,Very Low,Low
Qatar,Middle East & North Africa,87480,12,1,Very High,Very High
Romania,Europe & Central Asia,15692,10,18,High,High
Russian Federation,Europe & Central Asia,15445,11,6,Very Low,Very Low
Rwanda,Sub-Saharan Africa,967,6,56,High,High
Saudi Arabia,Middle East & North Africa,30448,9,3,Low,High
Sudan,Sub-Saharan Africa,1102,8,40,Very Low,Very Low
Senegal,Sub-Saharan Africa,1595,11,22,Low,High
Singapore,East Asia & Pacific,88429,6,0,Very High,Very High
Solomon Islands,East Asia & Pacific,2163,,37,High,High
Sierra Leone,Sub-Saharan Africa,476,9,43,Low,Low
El Salvador,Latin America & Caribbean,5048,15,15,Low,Low
Somalia,Sub-Saharan Africa,592,8,26,Very Low,Very Low
Serbia,Europe & Central Asia,9538,8,14,Low,Low
Sao Tome and Principe,Sub-Saharan Africa,2387,6,17,High,High
Suriname,Latin America & Caribbean,5859,6,8,High,Low
Slovak Republic,Europe & Central Asia,21279,11,3,High,High
Slovenia,Europe & Central Asia,28439,9,4,High,Very High
Sweden,Europe & Central Asia,56300,10,2,Very High,Very High
Eswatini,Sub-Saharan Africa,3987,7,13,Low,Low
Seychelles,Sub-Saharan Africa,17167,10,,Very High,Very High
Chad,Sub-Saharan Africa,699,10,69,Very Low,Very Low
Togo,Sub-Saharan Africa,923,10,31,Very Low,Low
Thailand,East Asia & Pacific,6913,9,30,Low,Low
Tajikistan,Europe & Central Asia,1076,9,44,Very Low,Very Low
Turkmenistan,Europe & Central Asia,8793,12,23,Low,Very Low
Timor-Leste,East Asia & Pacific,2389,9,39,High,High
Tonga,East Asia & Pacific,4682,15,27,Very High,Low
Trinidad and Tobago,Latin America & Caribbean,19629,7,3,High,Low
Tunisia,Middle East & North Africa,3608,9,14,Very Low,High
Turkiye,Europe & Central Asia,10675,12,17,Very Low,Low
Tuvalu,East Asia & Pacific,5222,8,,Very High,Very High
Tanzania,Sub-Saharan Africa,1193,7,66,Low,Low
Uganda,Sub-Saharan Africa,964,7,66,Very Low,Very Low
Uruguay,Latin America & Caribbean,20499,14,8,Very High,Very High
Uzbekistan,Europe & Central Asia,2276,12,26,Low,Low
St. Vincent and the Grenadines,Latin America & Caribbean,9298,12,10,Very High,Very High
Viet Nam,East Asia & Pacific,4179,10,34,Low,Low
Vanuatu,East Asia & Pacific,3129,,42,Very High,High
Samoa,East Asia & Pacific,3746,8,20,Very High,High
"Yemen, Rep.",Middle East & North Africa,699,9,29,Very Low,Very Low
South Africa,Sub-Saharan Africa,6766,9,19,Very Low,Low
Zambia,Sub-Saharan Africa,1457,7,57,High,Low
Zimbabwe,Sub-Saharan Africa,1677,7,53,Very Low,Very Low
